ID_Mahasiswa ;Label;Nilai_Matematika;Nilai_Biologi;Nilai_Fisika;Nilai_Kimia ;Nilai_English;Kognitif_Skills;Creativity_Innovation;Communication_Collaboration;Adaptation_DecisionMaking;Tech_Coding_Interest;Research_Data_Interest;Problem_Solving_Interest ;Creative_Social_Skills ;Field_Work_Interest ;Leadership_Skills ;Preference for Practical Work
M037;Matematika;88;67;77;66;80;93;76;73;76;1;1;1;0;0;0;0
M038;Matematika;87;62;73;75;78;94;71;74;84;0;1;0;0;1;0;0
M039;Matematika;90;61;70;72;80;95;79;65;82;1;1;1;0;1;0;0
M040;Matematika;82;69;75;65;79;87;75;68;83;0;1;1;0;0;0;0
M041;Matematika;82;60;77;72;79;95;71;66;81;1;1;1;0;0;0;0
M042;Matematika;85;64;76;68;74;90;78;69;83;1;0;1;0;0;0;0
M043;Matematika;84;63;72;68;74;98;80;75;76;0;1;1;0;0;0;0
M044;Matematika;90;63;80;67;77;85;74;65;83;1;1;1;0;1;0;1
M045;Matematika;86;61;74;66;72;98;71;65;76;1;0;0;0;0;0;0
M046;Matematika;83;63;75;69;73;100;74;74;78;1;1;1;1;0;0;1
M047;Matematika;81;63;73;69;77;87;73;71;80;1;1;1;0;0;0;0
M048;Matematika;81;67;70;72;78;88;75;67;79;1;1;1;0;1;0;0
M049;Matematika;81;61;79;74;73;89;75;71;79;0;1;1;0;0;0;0
M050;Matematika;89;66;76;69;73;91;70;75;76;0;0;1;0;0;0;0
M051;Matematika;82;70;74;71;71;87;74;69;75;1;1;0;0;0;0;0
M052;Matematika;83;67;73;71;78;92;75;69;76;1;1;1;0;0;0;0
M053;Matematika;80;67;76;74;72;91;78;70;81;1;1;1;0;0;0;0
M054;Matematika;87;61;77;67;71;90;77;71;76;0;1;1;0;0;0;0
M055;Matematika;84;68;77;66;70;87;77;72;76;1;1;1;0;1;1;0
M056;Matematika;84;65;76;67;75;90;74;71;81;1;1;1;0;1;0;0
M057;Matematika;80;69;76;73;78;90;74;69;84;1;1;0;0;0;0;0
M058;Matematika;87;67;79;73;80;89;80;67;81;1;1;1;0;1;0;0
M059;Matematika;86;63;71;73;79;91;70;70;77;1;0;1;0;1;0;0
M060;Matematika;84;63;72;74;80;100;72;67;79;1;0;1;0;0;0;1
M061;Matematika;88;62;79;69;72;93;78;73;78;1;0;1;1;0;0;0
M062;Matematika;80;67;74;73;70;100;76;68;75;1;0;1;0;0;0;1
M063;Matematika;80;61;72;69;80;92;72;75;77;1;1;1;0;0;0;0
M064;Matematika;90;60;77;65;76;89;73;67;76;1;1;1;0;0;0;1
M065;Matematika;85;60;80;65;80;85;70;71;80;0;1;1;0;0;0;0
M066;Matematika;90;69;74;68;76;99;73;74;77;1;0;1;0;0;0;0
M067;Matematika;85;69;74;65;78;93;71;72;80;1;1;1;0;0;0;0
M068;Matematika;88;62;70;66;72;89;72;72;81;1;1;1;1;0;0;0
M069;Matematika;90;66;76;69;74;87;76;67;76;1;1;1;1;0;0;0
M070;Matematika;80;63;71;75;75;87;79;73;84;1;1;1;1;0;1;0
M071;Matematika;81;68;74;74;79;100;74;73;84;1;1;1;0;0;0;0
M072;Matematika;86;68;76;73;71;96;79;75;80;1;1;1;0;0;0;0
M073;Matematika;90;64;77;73;78;92;74;65;83;1;1;0;0;0;0;0
M074;Matematika;85;69;73;72;73;85;74;71;81;1;1;1;0;0;0;0
M075;Matematika;89;66;76;71;78;93;74;70;80;1;1;0;1;1;0;0
M076;Matematika;80;67;72;69;79;96;80;73;81;0;1;1;1;0;1;0
M077;Matematika;88;68;78;70;78;98;72;70;76;1;1;1;0;0;1;0
M078;Matematika;88;65;79;72;79;87;71;71;75;1;1;1;0;1;0;1
M079;Matematika;88;60;73;74;76;90;71;72;76;1;1;1;0;0;1;0
M080;Matematika;86;65;73;71;79;85;74;70;82;1;0;1;0;1;0;0
M081;Matematika;82;68;73;73;71;92;75;69;84;1;1;0;0;0;0;0
M082;Matematika;90;64;77;75;71;94;76;73;78;0;1;1;0;1;0;0
M083;Matematika;82;63;70;68;72;88;71;65;83;1;1;1;0;0;0;0
M084;Matematika;86;70;74;74;76;90;71;71;83;1;1;1;1;1;0;0
M085;Matematika;90;63;70;65;75;85;77;71;81;1;1;0;0;0;0;0
M086;Matematika;81;66;75;73;70;86;70;69;79;1;0;1;0;0;1;0
M087;Matematika;84;63;70;70;80;97;79;65;79;1;0;1;0;0;0;0
M088;Matematika;87;61;73;65;75;94;74;70;85;0;1;1;1;1;0;0
M089;Matematika;88;60;80;71;70;97;75;69;79;1;0;1;0;1;1;0
M090;Matematika;87;66;73;72;72;92;80;67;77;1;1;1;1;0;1;0
M091;Matematika;84;68;73;70;77;85;72;72;85;1;1;1;0;0;0;0
M092;Matematika;88;60;77;72;72;88;77;65;75;1;1;1;0;0;0;0
M093;Matematika;80;68;78;65;72;92;71;69;79;0;1;1;0;1;1;0
M094;Matematika;81;64;77;65;77;85;73;72;84;1;1;1;1;0;0;0
M095;Matematika;85;68;75;65;73;95;70;65;76;0;1;1;1;0;0;0
M096;Matematika;89;62;72;65;73;94;71;74;82;0;1;0;0;0;0;0
M097;Matematika;89;68;78;69;71;96;77;69;80;1;1;0;1;0;0;0
M098;Matematika;88;61;72;70;70;95;80;70;78;1;1;1;1;0;0;1
M099;Matematika;80;61;71;69;77;86;77;75;85;1;0;0;1;0;0;0
M100;Matematika;90;67;78;65;76;86;76;70;77;0;1;1;1;0;1;0
M101;Matematika;90;69;79;66;77;90;75;66;80;1;1;1;0;1;0;0
M102;Matematika;84;66;76;65;77;97;79;71;82;1;1;1;0;0;0;0
M103;Matematika;87;60;73;75;72;86;80;74;79;1;1;1;1;0;0;0
M104;Matematika;89;63;75;68;73;91;79;70;75;1;1;1;0;0;0;1
M105;Matematika;85;67;74;72;74;87;71;69;82;1;1;1;0;1;0;0
M106;Matematika;84;67;72;72;77;92;75;66;84;1;1;1;0;0;0;0
M107;Matematika;85;69;78;73;71;92;71;74;75;1;1;0;0;0;0;0
M108;Matematika;90;68;72;68;75;90;71;74;76;0;1;0;1;0;0;0
M109;Matematika;82;70;74;71;76;90;74;71;84;1;1;1;0;0;1;0
M110;Matematika;90;68;73;72;71;96;73;68;83;1;1;0;1;0;0;1
M111;Matematika;85;62;75;75;71;98;78;70;84;1;1;1;0;0;0;0
M112;Matematika;86;61;74;65;77;87;77;65;79;1;1;1;0;1;0;1
M113;Matematika;82;69;75;74;77;91;75;72;83;1;1;1;0;0;0;0
M114;Matematika;83;70;71;68;75;88;75;67;77;1;1;1;0;1;0;0
M115;Matematika;85;61;74;66;71;94;71;69;82;1;1;1;1;1;0;0
M116;Matematika;90;66;78;65;79;91;78;75;78;1;1;0;1;0;0;0
M117;Matematika;82;69;78;68;74;91;77;66;81;1;0;1;0;0;1;0
M118;Matematika;85;66;77;72;70;97;77;68;84;1;1;0;0;0;0;0
M119;Matematika;87;63;78;65;74;99;71;75;75;0;0;1;1;1;0;0
M120;Matematika;87;60;76;73;79;96;79;67;81;1;1;1;1;0;0;0
M121;Matematika;89;66;74;65;78;94;79;71;84;0;1;1;0;0;1;0
M122;Matematika;84;60;79;74;78;90;71;75;82;1;1;1;0;0;0;0
M123;Matematika;87;70;73;66;78;85;75;67;83;1;1;1;1;0;0;0
M124;Matematika;81;63;72;73;77;95;73;71;84;1;1;1;0;0;1;0
M125;Matematika;81;61;70;69;71;98;73;75;83;0;1;1;0;0;0;1
M126;Matematika;84;61;79;73;70;96;77;65;80;0;1;1;1;1;0;0
M127;Matematika;83;69;73;75;79;90;76;66;75;1;1;1;0;0;1;0
M128;Matematika;86;60;73;69;74;100;75;75;79;1;0;1;0;0;0;0
M129;Matematika;89;65;76;65;77;98;70;65;83;1;1;1;0;0;0;0
M130;Matematika;87;63;74;74;74;99;76;70;83;1;1;1;0;0;0;0
M131;Matematika;84;68;79;65;73;100;73;66;76;1;1;1;0;0;0;0
M132;Matematika;86;65;71;72;76;89;74;71;84;1;1;1;0;0;0;1
M133;Matematika;89;68;77;73;77;98;75;69;81;1;1;0;0;0;0;0
M134;Matematika;84;61;78;71;76;93;79;69;84;1;1;0;0;1;0;0
M135;Matematika;81;61;78;71;73;92;75;73;75;1;1;1;0;0;1;0
M136;Matematika;81;63;72;75;72;85;79;75;85;1;1;0;1;0;1;0
M137;Matematika;80;65;73;66;71;98;74;75;75;1;1;0;0;0;1;0
M138;Matematika;90;60;74;68;74;93;79;70;77;1;1;1;0;0;1;0
M139;Matematika;90;64;75;65;76;92;70;67;84;1;1;1;1;0;0;0
M140;Matematika;84;61;71;66;71;85;79;71;76;1;1;1;0;0;0;0
M141;Matematika;89;67;79;73;79;87;73;74;81;1;1;1;0;0;0;0
M142;Matematika;90;62;74;73;75;92;77;72;79;1;1;1;1;0;0;1
M143;Matematika;84;69;74;74;74;97;73;65;76;1;1;1;0;0;1;0
M144;Matematika;88;70;72;74;72;92;72;72;76;1;1;1;0;0;1;0
M145;Matematika;85;64;80;71;75;90;75;74;81;0;1;1;0;0;0;0
M146;Matematika;81;63;77;70;78;100;71;70;75;0;1;1;0;0;0;1
M147;Matematika;87;66;70;74;72;88;77;75;82;1;1;0;1;0;0;0
M148;Matematika;89;62;78;66;76;100;71;72;79;1;0;1;0;1;0;0
M149;Matematika;88;67;80;72;73;88;78;68;78;0;1;1;0;0;0;1
M150;Matematika;82;67;77;68;74;91;77;74;81;1;0;1;1;0;0;0
M151;Matematika;87;61;70;68;79;85;72;69;83;1;1;0;1;0;1;0
M152;Matematika;89;64;75;69;80;91;79;69;81;1;0;1;0;0;0;0
M153;Matematika;90;66;79;75;75;85;78;71;75;0;1;1;1;1;0;0
M154;Matematika;86;63;76;73;75;98;77;65;78;1;1;1;0;0;0;0
M155;Matematika;80;66;78;68;75;91;79;65;85;0;1;1;0;0;0;0
M156;Matematika;82;66;80;72;80;89;79;65;76;0;1;1;0;0;0;0
M157;Matematika;81;63;70;73;72;96;75;65;82;1;1;1;0;0;0;0
M158;Matematika;80;61;80;65;80;86;71;73;82;1;1;0;0;0;0;0
M159;Matematika;85;60;70;71;71;100;75;71;80;0;0;0;0;0;0;1
M160;Matematika;82;61;75;65;70;99;77;70;83;1;1;1;0;0;0;0
M161;Matematika;86;66;73;65;74;93;79;68;75;1;0;1;1;0;0;0
M162;Matematika;90;64;79;71;77;92;76;69;85;1;1;1;0;1;0;0
M163;Matematika;86;60;70;69;71;90;72;67;76;1;0;0;0;1;0;0
M164;Matematika;80;67;77;73;76;87;73;73;76;1;1;0;0;0;0;0
M165;Matematika;84;66;79;72;70;96;79;66;83;1;1;0;0;0;0;0
M166;Matematika;80;67;74;75;77;100;73;70;85;1;1;1;0;0;0;0
M167;Matematika;81;64;73;72;74;96;77;66;76;1;1;0;0;0;1;0
M168;Matematika;84;62;74;70;76;89;72;71;78;0;1;1;0;0;1;0
M169;Matematika;81;69;78;67;79;99;73;70;80;0;1;0;0;0;0;0
M170;Matematika;84;60;70;67;80;99;71;75;76;1;1;0;0;0;0;0
M171;Matematika;82;68;77;72;74;88;70;67;81;1;1;1;0;0;0;0
M172;Matematika;90;63;70;71;75;88;77;73;78;0;1;1;0;0;0;0
M173;Matematika;88;66;71;75;71;92;78;72;84;1;1;1;0;0;0;0
M174;Matematika;86;62;70;75;70;88;80;65;76;1;1;0;1;0;1;0
M175;Matematika;85;65;71;74;73;100;79;70;78;1;1;1;0;0;0;0
M176;Matematika;83;68;79;71;77;97;72;68;78;1;1;1;0;0;0;0
M177;Matematika;86;70;77;74;72;85;73;71;78;1;0;1;0;0;0;0
M178;Matematika;86;61;80;70;70;89;76;73;79;1;1;0;0;1;0;1
M179;Matematika;80;61;79;72;70;92;70;69;76;1;1;0;0;1;1;1
M180;Matematika;81;66;79;69;77;92;75;75;78;0;1;1;0;1;0;1
M181;Matematika;83;68;79;71;79;87;75;72;75;1;1;1;0;0;0;0
M182;Matematika;81;60;76;65;71;93;80;73;80;1;1;1;0;0;0;1
M183;Matematika;86;65;76;74;76;87;77;71;85;1;1;1;0;1;0;0
M184;Matematika;90;69;72;70;71;99;73;70;77;1;1;1;0;0;1;1
M185;Matematika;81;61;74;71;73;89;76;74;81;1;1;0;0;1;0;0
M186;Matematika;88;66;78;70;72;93;77;71;78;1;1;0;0;0;0;0
M187;Matematika;84;61;71;67;77;86;75;71;85;1;1;1;0;0;0;0
M188;Matematika;80;62;77;66;75;92;78;65;83;1;0;1;0;1;0;0
M189;Matematika;80;63;76;74;71;100;76;73;76;1;1;1;0;0;1;0
M190;Matematika;80;61;80;66;78;97;75;72;79;1;1;1;1;1;0;0
M191;Matematika;87;69;77;65;71;98;76;72;79;1;1;0;0;0;0;0
M192;Matematika;84;60;77;72;79;94;75;74;76;1;1;1;0;0;1;0
M193;Matematika;83;61;71;74;79;99;78;72;84;1;0;1;1;0;0;0
M194;Matematika;88;66;73;74;74;87;72;71;80;1;1;1;0;1;0;1
M195;Matematika;87;69;78;68;75;94;70;66;81;1;1;0;1;0;0;0
M196;Matematika;81;61;78;72;77;86;77;71;75;1;0;1;0;0;0;0
M197;Matematika;86;68;79;68;77;93;71;69;78;0;1;1;0;0;0;0
M198;Matematika;85;67;72;72;79;87;75;66;85;1;1;1;1;0;0;1
M199;Matematika;85;66;72;69;78;92;76;74;78;1;1;1;0;0;0;1
M200;Matematika;81;62;77;67;77;85;74;70;78;1;1;1;0;1;0;0
M201;Matematika;85;62;77;70;80;100;79;65;75;1;1;1;0;0;0;0
M202;Matematika;82;67;71;67;73;88;73;66;84;0;0;1;0;0;0;0
M203;Matematika;80;63;71;65;80;90;79;73;77;1;1;1;0;0;0;0
M204;Matematika;88;69;73;65;70;96;72;66;81;1;1;0;0;0;0;0
M205;Matematika;81;61;80;72;74;95;75;68;83;0;1;1;1;1;0;0
M206;Matematika;88;62;73;75;71;95;77;67;78;0;1;1;0;0;0;1
M207;Matematika;81;61;74;69;75;100;80;69;81;1;1;1;0;0;0;0
M208;Matematika;87;61;80;69;79;95;78;71;80;1;1;0;0;0;0;0
M209;Matematika;80;61;75;73;75;92;75;73;77;1;1;1;0;1;0;0
M210;Matematika;90;70;78;73;74;91;73;69;75;1;1;1;0;0;0;0
M211;Matematika;90;60;78;69;77;99;76;73;78;1;1;1;0;0;1;1
M212;Matematika;82;64;76;75;77;100;72;73;82;0;1;1;1;1;1;0
M213;Matematika;85;67;79;65;73;96;76;75;80;1;1;0;0;0;1;0
M214;Matematika;85;63;72;75;80;96;79;73;82;1;0;1;0;0;0;0
M215;Matematika;90;61;78;70;72;88;73;69;83;0;0;1;0;0;0;0
M216;Matematika;80;63;70;69;80;97;74;73;75;0;0;1;0;0;0;0
M217;Matematika;90;63;78;71;73;87;70;74;85;0;1;1;0;0;0;0
M218;Matematika;89;67;72;67;75;90;78;74;79;1;0;1;0;0;1;1
M219;Matematika;90;70;72;66;78;89;70;65;83;1;1;1;0;0;0;0
M220;Matematika;88;67;71;67;70;89;74;73;85;1;1;1;0;1;0;1
M221;Matematika;84;65;70;73;80;95;75;75;85;1;1;1;0;0;1;0
M222;Matematika;89;66;80;74;77;100;71;65;84;1;1;1;0;1;1;0
M223;Matematika;82;69;75;66;70;88;80;71;83;1;1;1;1;0;1;1
M224;Matematika;87;63;73;74;77;86;80;69;77;0;1;1;0;1;0;0
M225;Matematika;80;61;70;65;78;94;78;75;79;1;1;1;1;1;0;0
M226;Matematika;90;70;76;71;70;87;76;66;83;1;1;1;0;0;0;0
M227;Matematika;84;60;71;70;79;98;80;66;76;1;1;1;0;0;0;1
M228;Matematika;83;69;77;70;70;93;78;74;82;1;1;1;0;1;0;1
M229;Matematika;88;67;72;71;78;93;76;71;77;1;1;1;0;0;0;0
M230;Matematika;80;69;76;73;73;99;75;72;75;1;1;1;0;0;0;0
M231;Matematika;86;65;74;69;78;98;77;75;76;1;1;1;1;0;0;1
M232;Matematika;85;68;78;66;74;98;80;67;83;1;1;1;0;1;0;0
M233;Matematika;83;61;77;69;76;87;74;67;77;1;1;1;1;1;0;0
M234;Matematika;90;65;75;74;73;90;74;75;77;1;1;1;0;0;0;0
M235;Matematika;88;61;79;74;75;92;79;67;85;1;1;1;0;1;0;0
M236;Matematika;82;61;70;67;74;99;75;65;76;1;0;0;0;1;0;0
M237;Matematika;81;62;78;67;78;85;71;66;83;1;0;1;0;0;1;0
M238;Matematika;80;60;77;71;73;96;76;73;85;1;1;1;0;0;1;0
M239;Matematika;86;64;72;65;75;99;72;71;75;1;1;1;1;0;0;0
M240;Matematika;87;66;73;67;73;98;78;70;81;1;1;1;0;0;0;1
M241;Matematika;84;62;75;67;79;96;77;69;75;1;1;1;1;0;0;0
M242;Matematika;81;64;74;67;70;96;74;65;77;1;1;0;1;0;0;0
M243;Matematika;86;61;78;67;71;99;80;71;79;1;1;1;0;0;0;0
M244;Matematika;80;70;73;65;77;91;77;72;84;1;1;1;0;0;0;0
M245;Matematika;87;65;72;69;75;96;71;71;83;1;1;1;0;0;0;0
M246;Matematika;84;60;72;74;79;96;73;68;80;1;1;0;0;0;0;0
M247;Matematika;88;60;71;66;79;100;73;66;75;1;0;1;0;1;1;0
M248;Matematika;85;62;74;73;71;87;77;66;85;1;0;1;0;0;0;0
M249;Matematika;87;70;73;75;73;86;73;75;76;1;1;0;1;0;0;1
M250;Matematika;80;65;79;71;79;94;70;74;82;1;1;1;1;0;1;0
M251;Matematika;81;67;74;66;79;98;72;66;75;1;1;0;0;0;0;1
M252;Matematika;86;63;73;69;74;88;78;75;82;1;1;1;0;0;0;1
M253;Matematika;89;69;78;73;80;97;80;71;76;1;1;1;0;1;0;1
M254;Matematika;90;67;80;72;76;95;77;68;75;1;1;1;1;0;0;0
M255;Matematika;84;62;73;66;71;91;79;74;83;1;1;1;0;0;0;1
M256;Matematika;90;60;75;69;77;91;77;69;77;1;0;1;0;0;0;0
M257;Matematika;80;64;72;69;70;98;74;71;83;1;1;1;0;0;0;1
M258;Matematika;87;61;76;69;76;95;79;66;84;0;1;0;0;1;0;0
M259;Matematika;82;70;73;65;76;98;70;69;76;1;1;1;0;0;1;0
M260;Matematika;88;62;72;68;77;99;76;69;80;1;1;1;0;0;0;0
M261;Matematika;80;68;77;69;71;89;70;75;85;1;1;0;0;0;0;1
M262;Matematika;83;61;73;75;80;95;79;68;83;1;1;1;0;0;1;0
M263;Matematika;86;68;70;75;79;88;78;74;77;1;1;1;0;0;0;0
M264;Matematika;87;70;72;72;70;89;77;70;80;1;1;1;0;0;0;0
M265;Matematika;89;65;79;68;73;98;74;74;82;1;1;1;0;0;0;0
M266;Matematika;81;63;78;73;72;96;70;70;85;1;1;1;0;0;0;0
M267;Matematika;82;66;74;74;74;92;77;68;82;1;0;1;0;0;0;0
M268;Matematika;83;60;74;75;74;97;73;73;76;1;1;1;0;1;0;0
M269;Matematika;85;60;74;70;73;90;77;71;82;1;1;1;0;1;0;0
M270;Matematika;89;70;80;71;70;97;73;72;78;1;1;0;0;1;1;0
M271;Matematika;86;63;75;65;75;97;71;68;76;1;1;1;0;0;0;1
M272;Matematika;88;64;76;65;77;87;76;75;82;1;0;1;0;0;0;1
M273;Matematika;86;60;75;70;76;96;75;65;80;1;0;1;0;0;0;0
M274;Matematika;83;70;76;73;75;91;80;67;83;1;0;1;0;0;0;0
M275;Matematika;80;67;78;74;73;95;72;68;83;1;0;1;0;0;0;0
M276;Matematika;87;68;80;74;72;99;80;69;80;1;1;1;1;0;0;0
M277;Matematika;81;61;74;73;77;91;71;70;80;1;1;1;1;0;0;0
M278;Matematika;84;68;70;68;71;98;72;74;81;1;0;1;0;0;0;0
M279;Matematika;86;61;72;71;72;99;71;73;75;0;1;1;0;0;0;0
M280;Matematika;90;70;74;71;71;89;80;73;80;1;0;0;0;0;0;0
M281;Matematika;83;68;76;70;72;97;71;74;79;1;1;1;0;0;0;0
M282;Matematika;83;66;74;71;70;85;77;73;79;1;1;1;1;0;0;0
M283;Matematika;87;61;73;71;75;86;72;75;81;1;0;1;1;0;0;1
M284;Matematika;85;64;80;69;70;99;78;67;83;1;0;1;0;1;0;0
M285;Matematika;90;61;75;70;75;85;71;69;76;1;1;1;0;0;1;0
M286;Matematika;86;68;80;72;74;95;80;67;75;1;1;0;1;1;1;0
M287;Matematika;83;69;74;67;73;98;70;75;80;1;1;1;0;0;0;1
M288;Matematika;85;62;73;70;74;85;74;68;85;1;0;1;0;0;0;0
M289;Matematika;83;69;73;75;71;87;70;67;80;1;1;1;1;0;1;0
M290;Matematika;90;62;71;67;71;90;73;72;84;1;1;1;1;0;1;0
M291;Matematika;90;61;77;70;70;90;71;68;78;1;1;0;0;0;0;0
M292;Matematika;87;65;78;70;71;97;75;72;85;0;1;1;0;0;0;0
M293;Matematika;89;65;79;65;71;85;75;66;79;1;1;1;1;0;0;0
M294;Matematika;80;63;80;69;73;97;74;67;85;0;1;1;0;0;0;0
M295;Matematika;82;67;70;66;71;98;78;69;83;0;1;1;0;1;0;0
M296;Matematika;83;64;79;67;72;98;73;69;81;1;1;1;0;0;0;0
M297;Matematika;90;61;80;75;78;98;80;74;76;1;1;0;0;0;0;0
M298;Matematika;83;64;76;72;74;90;74;66;85;1;1;1;0;0;1;0
M299;Matematika;84;68;76;67;71;94;78;68;80;1;1;1;0;0;0;0
M300;Matematika;81;69;79;65;73;98;79;73;82;1;1;1;0;0;0;0
M301;Matematika;81;65;73;71;75;96;73;68;76;1;1;1;1;1;1;0
M302;Matematika;83;66;74;70;78;96;74;73;79;1;1;1;0;1;0;0
M303;Matematika;88;63;79;75;80;91;79;65;85;1;1;1;0;0;1;0
M304;Matematika;86;63;72;65;76;94;74;71;85;0;1;1;0;0;0;1
M305;Matematika;87;67;73;66;70;92;70;71;81;1;1;1;0;0;0;0
M306;Matematika;85;69;78;67;80;99;71;69;80;1;1;1;0;0;0;0
M307;Matematika;82;66;70;73;72;93;76;70;84;1;1;0;0;0;0;1
M308;Matematika;86;66;74;71;75;86;76;67;85;1;1;1;0;0;0;0
M309;Matematika;80;67;77;69;70;94;71;68;79;1;0;1;1;0;0;1
M310;Matematika;89;63;70;73;71;96;77;66;78;1;1;1;0;0;0;1
M311;Matematika;85;67;73;75;75;87;76;68;76;1;1;1;1;0;0;0
M312;Matematika;86;69;76;72;78;99;75;75;78;1;1;1;1;0;0;1
M313;Matematika;83;63;71;65;78;98;79;67;75;1;1;1;0;0;0;0
M314;Matematika;89;67;78;68;79;100;74;74;85;1;1;1;0;0;0;0
M315;Matematika;90;67;71;69;72;91;77;72;80;1;1;1;1;1;0;0
M316;Matematika;87;61;70;67;80;90;72;68;75;1;1;1;1;0;0;1
M317;Matematika;84;70;76;74;73;100;78;73;83;1;1;1;0;0;0;0
M318;Matematika;89;61;70;68;77;87;78;70;78;1;1;1;0;0;0;0
M319;Matematika;80;69;72;66;72;98;75;72;76;1;1;0;0;0;0;0
M320;Matematika;83;67;76;68;73;88;77;72;79;1;1;0;0;0;0;0
M321;Matematika;84;69;79;72;77;90;75;66;84;1;1;0;0;0;0;0
M322;Matematika;83;64;73;72;80;97;72;71;75;0;1;0;0;0;0;0
M323;Matematika;85;66;72;71;79;99;76;68;84;1;1;1;0;0;1;0
M324;Matematika;83;67;71;75;71;97;76;69;85;1;1;1;0;0;0;0
M325;Matematika;86;65;72;69;73;99;72;72;84;1;1;1;0;1;0;0
M326;Matematika;88;70;71;67;79;86;73;68;85;1;0;1;1;0;0;0
M327;Matematika;88;64;80;74;80;88;70;75;78;1;1;1;0;0;0;0
M328;Matematika;87;63;74;75;70;87;74;65;81;1;0;1;0;0;0;1
M329;Matematika;88;60;74;70;75;95;79;65;75;1;1;1;1;0;0;1
M330;Matematika;86;70;73;69;72;100;80;71;78;1;0;1;0;0;0;1
M331;Matematika;81;64;80;70;75;100;72;69;79;0;1;0;0;0;0;0
M332;Matematika;82;65;73;70;71;91;80;69;85;1;1;1;1;0;0;0
M333;Matematika;89;66;77;65;71;88;77;75;80;1;1;1;0;0;1;0
M334;Matematika;83;62;80;74;78;97;77;66;76;1;1;1;0;0;0;0
M335;Matematika;84;60;73;75;76;91;76;70;77;1;0;1;0;0;0;0
M336;Matematika;89;67;73;70;80;98;74;70;77;1;0;1;0;0;0;1
M337;Matematika;84;60;73;69;75;99;72;74;79;0;1;1;1;0;0;0
M338;Matematika;82;66;71;68;73;98;72;73;81;1;1;1;0;0;0;1
M339;Matematika;90;64;71;65;76;91;74;72;80;0;1;1;0;0;0;1
M340;Matematika;87;65;71;71;70;94;76;65;84;0;1;1;0;0;0;0
